ProductID,Name,CategoryIDs,Price,LocalImageFile
24363,Earldom 4K Ultra PJ04 WiFi 6 Projector,213,75,24363_Earldom-4K-Ultra-PJ04-WiFi-6-Projector.jpg
24361,2.7K Digital Camera 48MP,213,35,24361_2.7K-Digital-Camera-48MP.jpg
24359,Earldom 4K Ultra HD Multi-intelligent PJ05 WiFi 6 Projector,213,85,24359_Earldom-4K-Ultra-HD-Multi-intelligent-PJ05-WiFi-6-Projector.jpg
24357,Earldom HC07 Electric Hair Clipper LED Display Rechargeable,569,18.50,24357_Earldom-HC07-Electric-Hair-Clipper-LED-Display-Rechargeable.jpg
24355,All in one Earldom HC02 Electric Shaver / Hair Clipper /Trimmer Rechargeable,569,17,24355_All-in-one-Earldom-HC02.jpg
24353,Earldom HC03 Electric Hair Clipper Machine LED Display Rechargeable,569,18.50,24353_Earldom-HC03-Electric-Hair-Clipper-Machine-LED-Display-Rechargeable.jpg
24350,Earldom HC08 Electric Hair Trimmer LED Display Rechargeable,569,13,24350_Earldom-HC08-Electric-Hair-Trimmer-LED-Display-Rechargeable.jpg
24347,Earldom BH65 BT Wireless earbuds,200,13,24347_Earldom-BH65-BT-Wireless-earbuds.jpeg
24344,Earldom HC05 Electric Hair Clipper Rechargeable,569,13,24344_Earldom-HC05-Electric-Hair-Clipper-Rechargeable.jpeg
24341,Earldom HC04 Electric Hair Clipper Rechargeable,569,13,24341_Earldom-HC04-Electric-Hair-Clipper-Rechargeable-2.jpeg
24338,Earldom ET-TP03 Android 4g/32gb Android Tablet 7” WiFi Orange With Case,213,55,24338_Earldom-ET-TP03.jpeg
24336,Earldom ET-TP02 Android 4g/32gb Android Tablet 7” WiFi Black With Case,213,55,24336_Earldom-ET-TP02.jpeg
24334,Earldom ET-TP01 Android 4g/32gb Android Tablet 7” WiFi Blue With Case,213,55,24334_Earldom-ET-TP01.jpeg
24331,Amazon Fire TV Stick 4K,213,43,24331_Amazon-Fire-TV-Stick-4K.jpeg
24327,CCIT KT600 Pro Android Kids Tablet - Red,475,55,24327_CCIT-KT600-Pro-Android-Kids-Tablet-red.jpeg
24326,CCIT KT600 Pro Android Kids Tablet - Purpule,475,55,24326_CCIT-KT600-Pro-Android-Kids-Tablet-purple.jpeg
24321,Super Mario Kids Android Tablet - Red,475,55,24321_Super-Mario-Kids-Android-Tablet-red.jpeg
24320,Super Mario Kids Android Tablet - Blue,475,55,24320_Super-Mario-Kids-Android-Tablet-blue.jpeg
24317,NCC Phillips Screwdriver,213,8.50,24317_NCC-Phillips-Screwdriver.jpeg
24315,Kingston 64gb Type C Flash Drive,190,9,24315_Kingston-64gb-Type-C-Flash-Drive-scaled.jpeg
24312,OUTDOOR FULL HD NVR 4 CAMERA CCTV KIT Wireless (without Hard drive),213,220,24312_OUTDOOR-FULL-HD-NVR-4-CAMERA-CCTV-KIT-Wireless-without-Hard-drive.jpeg
24310,Mini Portable labels Printers Bluetooth,213,60,24310_Mini-Portable-labels-Printers-Bluetooth.jpeg
24308,Jmary MH-79 Strongest Magnetic Phone Holder,199,7.99,24308_Jmary-MH-79-Strongest-Magnetic-Phone-Holder.jpeg
24306,HOCO UPA30 Aux 3.5mm to iPhone lightning Cable,214,3.50,24306_HOCO-UPA30-Aux-3.5mm-to-iPhone-lightning-Cable.jpeg
24304,HOCO UPA30 Aux 3.5mm to Type-C Cable,214,3.50,24304_HOCO-UPA30-Aux-3.5mm-to-Type-C-Cable.jpeg
24302,HOCO M121 Aux 3.5mm in-earphones with Microphone,200,1.50,24302_HOCO-M121-Aux-3.5mm-in-earphones-with-Microphone.jpeg
24301,NCC Prime AAA FHD Premium Quality iPhone 16 Pro Max Screen,"97, 443",150,24301_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24300,NCC Prime AAA FHD Premium Quality iPhone 16 Pro Screen,"97, 443",150,24300_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24299,NCC Prime AAA FHD Premium Quality iPhone 16 Plus Screen,"97, 443",80,24299_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24298,NCC Prime AAA FHD Premium Quality iPhone 16 Screen,"97, 443",75,24298_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24297,NCC Prime AAA FHD Premium Quality iPhone 16e Screen,"97, 443",50,24297_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24296,NCC Prime AAA FHD Premium Quality iPhone 15 Pro Max Screen,"97, 443",60,24296_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24295,NCC Prime AAA FHD Premium Quality iPhone 15 Pro Screen,"97, 443",50,24295_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24294,NCC Prime AAA FHD Premium Quality iPhone 15 Screen,"97, 443",38,24294_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24293,NCC Prime AAA FHD Premium Quality iPhone 14 Pro Max Screen,"97, 443",49,24293_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24292,NCC Prime AAA FHD Premium Quality iPhone 14 Screen,"97, 443",32,24292_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24291,NCC Prime AAA FHD Premium Quality iPhone 13 Pro Max Screen,"97, 443",39,24291_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24290,NCC Prime AAA FHD Premium Quality iPhone 13 Pro Screen,"97, 443",35,24290_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24289,NCC Prime AAA FHD Premium Quality iPhone 13 Screen,"97, 443",28,24289_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24288,NCC Prime AAA FHD Premium Quality iPhone 12 Pro Max Screen,"97, 443",35,24288_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24287,NCC Prime AAA FHD Premium Quality iPhone 12 Screen,"97, 443",20,24287_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24286,NCC Prime AAA FHD Premium Quality iPhone 11 Pro Max Screen,"97, 443",20,24286_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24285,NCC Prime AAA FHD Premium Quality iPhone 11 pro Screen,"97, 443",20,24285_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24284,NCC Prime AAA FHD Premium Quality iPhone 11 Screen,"97, 443",15,24284_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24283,NCC Prime AAA FHD Premium Quality iPhone XR Screen,"97, 443",15,24283_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24282,NCC Prime AAA FHD Premium Quality iPhone XS Max Screen,"97, 443",20,24282_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24281,NCC Prime AAA FHD Premium Quality iPhone XS Screen,"97, 443",14.50,24281_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24279,NCC Prime AAA FHD Premium Quality iPhone X Screen,"97, 443",14.50,24279_NCC-Prime-AAA-FHD-Premium-Quality-iPhone-Screen.jpeg
24275,iPhone 5c JK Incell LCD,"97, 443",8,24275_jk-lcd-product-image.jpeg
24274,iPhone SE JK Incell LCD,"97, 443",8,24274_jk-lcd-product-image.jpeg
24273,iPhone 5s JK Incell LCD,"97, 443",8,24273_jk-lcd-product-image.jpeg
24272,iPhone 6 Plus JK Incell LCD,"97, 443",10,24272_jk-lcd-product-image.jpeg
24271,iPhone 6s JK Incell LCD,"97, 443",8,24271_jk-lcd-product-image.jpeg
24270,iPhone 6s Plus JK Incell LCD,"97, 443",14,24270_jk-lcd-product-image.jpeg
24269,iPhone 7 JK Incell LCD,"97, 443",10,24269_jk-lcd-product-image.jpeg
24268,iPhone 7 Plus JK Incell LCD,"97, 443",12,24268_jk-lcd-product-image.jpeg
24267,iPhone SE-3 (2022) JK Incell LCD,"97, 443",18,24267_jk-lcd-product-image.jpeg
24266,iPhone SE-2 (2020) JK Incell LCD,"97, 443",18,24266_jk-lcd-product-image.jpeg
