
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Secure System                  140 Services                   0     75,268 K
Registry                       184 Services                   0     37,180 K
smss.exe                       628 Services                   0        648 K
csrss.exe                      960 Services                   0      2,612 K
wininit.exe                    696 Services                   0        520 K
csrss.exe                      684 Console                    1      3,852 K
winlogon.exe                  1060 Console                    1        576 K
services.exe                  1116 Services                   0      9,944 K
LsaIso.exe                    1136 Services                   0        700 K
lsass.exe                     1144 Services                   0     16,820 K
svchost.exe                   1276 Services                   0     26,432 K
fontdrvhost.exe               1296 Services                   0        628 K
fontdrvhost.exe               1304 Console                    1      4,168 K
WUDFHost.exe                  1380 Services                   0      3,272 K
svchost.exe                   1452 Services                   0     15,176 K
svchost.exe                   1516 Services                   0      4,992 K
dwm.exe                       1648 Console                    1    203,552 K
svchost.exe                   1744 Services                   0      1,300 K
svchost.exe                   1752 Services                   0      4,604 K
svchost.exe                   1772 Services                   0      1,264 K
svchost.exe                   1780 Services                   0      7,208 K
svchost.exe                   1828 Services                   0      4,796 K
svchost.exe                   1892 Services                   0      9,540 K
svchost.exe                   1948 Services                   0      9,420 K
svchost.exe                   2004 Services                   0      2,988 K
svchost.exe                   2012 Services                   0      5,484 K
svchost.exe                    760 Services                   0      7,764 K
svchost.exe                   2128 Services                   0      3,044 K
IntelCpHDCPSvc.exe            2136 Services                   0      1,016 K
svchost.exe                   2144 Services                   0      2,556 K
svchost.exe                   2152 Services                   0     10,300 K
svchost.exe                   2172 Services                   0      4,696 K
svchost.exe                   2180 Services                   0      6,760 K
svchost.exe                   2288 Services                   0      1,152 K
svchost.exe                   2312 Services                   0      2,176 K
svchost.exe                   2448 Services                   0      2,216 K
svchost.exe                   2480 Services                   0      1,444 K
svchost.exe                   2556 Services                   0      6,812 K
svchost.exe                   2608 Services                   0      4,240 K
svchost.exe                   2752 Services                   0      2,512 K
WUDFHost.exe                  3016 Services                   0      4,900 K
svchost.exe                   3056 Services                   0     14,560 K
svchost.exe                   3088 Services                   0      2,844 K
svchost.exe                   3100 Services                   0      2,328 K
svchost.exe                   3188 Services                   0     15,632 K
svchost.exe                   3232 Services                   0      2,892 K
svchost.exe                   3300 Services                   0      4,176 K
vmms.exe                      3400 Services                   0      6,384 K
svchost.exe                   3500 Services                   0      1,192 K
svchost.exe                   3512 Services                   0      1,584 K
svchost.exe                   3656 Services                   0      1,176 K
svchost.exe                   3704 Services                   0      6,956 K
svchost.exe                   3808 Services                   0     14,852 K
svchost.exe                   3840 Services                   0      4,540 K
svchost.exe                   3904 Services                   0      4,956 K
svchost.exe                   3916 Services                   0      6,024 K
svchost.exe                   3924 Services                   0      1,912 K
Memory Compression            4092 Services                   0  2,146,704 K
svchost.exe                   4084 Services                   0      1,452 K
igfxCUIServiceN.exe           4120 Services                   0      1,916 K
svchost.exe                   4188 Services                   0      5,836 K
DiagsCap.exe                  4212 Services                   0      1,172 K
SysInfoCap.exe                4228 Services                   0      3,892 K
svchost.exe                   4252 Services                   0      5,144 K
NetworkCap.exe                4244 Services                   0      1,128 K
AppHelperCap.exe              4284 Services                   0      2,888 K
TouchpointAnalyticsClient     4304 Services                   0     20,736 K
svchost.exe                   4460 Services                   0     12,264 K
svchost.exe                   4496 Services                   0     10,772 K
WUDFHost.exe                  4696 Services                   0      4,588 K
svchost.exe                   4760 Services                   0     29,612 K
svchost.exe                   5048 Services                   0      3,284 K
svchost.exe                   5100 Services                   0      9,320 K
svchost.exe                   1032 Services                   0      3,392 K
spoolsv.exe                   5144 Services                   0      3,764 K
DpHostW.exe                   5232 Services                   0      4,612 K
svchost.exe                   5316 Services                   0      1,676 K
svchost.exe                   5332 Services                   0     19,812 K
NgcIso.exe                    5396 Services                   0        504 K
unsecapp.exe                  5544 Services                   0      2,196 K
wlanext.exe                   5596 Services                   0      1,528 K
DpCardEngine.exe              5632 Console                    1        652 K
WmiPrvSE.exe                  5764 Services                   0      2,016 K
DbxSvc.exe                    6052 Services                   0      2,508 K
